Employee_ID,Department,Gender,Age,Study_Hours,Exam_Score,Salary,Satisfaction_Score
1,Sales,Male,51,8.2,83.2,74899.0,3.0
2,Finance,Male,59,2.5,45.9,59583.0,
3,Marketing,Male,59,9.3,100.0,71819.0,5.0
4,Sales,Female,29,1.1,30.0,75671.0,3.0
5,Engineering,Female,48,4.7,70.6,88110.0,2.0
6,Engineering,Male,48,6.2,58.4,82252.0,10.0
7,Engineering,Female,55,5.6,50.9,107455.0,9.0
8,Finance,Female,42,3.8,49.6,67412.0,2.0
9,Marketing,Female,51,4.6,59.7,73205.0,2.0
10,Marketing,Female,54,4.0,51.9,70073.0,8.0
11,Engineering,Female,49,3.8,34.0,102185.0,9.0
12,Finance,Male,54,6.7,72.9,84157.0,7.0
13,HR,Female,26,5.7,55.3,58619.0,3.0
14,Engineering,Male,40,3.6,54.3,87350.0,9.0
15,Engineering,Male,25,6.8,77.3,90952.0,3.0
16,Engineering,Female,56,5.6,57.4,80319.0,5.0
17,Engineering,Male,38,6.6,68.9,88336.0,9.0
18,Sales,Male,49,6.3,61.6,53120.0,3.0
19,Sales,Male,51,3.3,46.2,58921.0,7.0
20,Engineering,Female,50,3.9,58.7,81168.0,1.0
21,Marketing,Female,27,6.5,64.1,65287.0,4.0
22,Engineering,Male,56,6.2,73.8,115335.0,4.0
23,Engineering,Female,58,5.0,55.4,101202.0,7.0
24,Sales,Female,45,5.2,55.5,101589.0,8.0
25,Sales,Female,50,7.6,79.6,75920.0,1.0
26,HR,Female,52,3.8,42.3,69382.0,5.0
27,Engineering,Male,56,6.1,64.3,68319.0,7.0
28,Sales,Male,54,4.6,47.2,,4.0
29,Sales,Female,42,4.6,72.2,63092.0,4.0
30,Engineering,Female,53,7.2,77.9,94166.0,4.0
31,Marketing,Male,44,6.7,67.6,67494.0,6.0
32,Engineering,Male,54,6.6,74.7,78118.0,
33,Engineering,Female,24,7.6,80.0,131686.0,2.0
34,Finance,Male,39,5.0,58.6,96221.0,5.0
35,Finance,Female,46,6.4,75.8,71245.0,4.0
36,HR,Female,52,4.4,61.1,69287.0,3.0
37,Engineering,Male,24,5.6,60.9,102215.0,7.0
38,Engineering,Male,45,4.7,53.3,,
39,Marketing,Female,53,5.2,59.4,75736.0,7.0
40,Sales,Female,43,6.2,51.1,63250.0,5.0
41,Engineering,Male,44,3.4,34.8,123230.0,6.0
42,Sales,Female,23,9.2,100.0,81671.0,5.0
43,Engineering,Male,48,3.0,57.1,118898.0,7.0
44,Finance,Female,23,2.6,38.6,78312.0,2.0
45,Engineering,Male,47,7.3,83.1,,5.0
46,Marketing,Male,38,6.6,75.2,68772.0,6.0
47,Engineering,Male,54,6.2,94.6,95836.0,6.0
48,Sales,Female,30,6.3,79.0,77448.0,5.0
49,Sales,Female,50,5.0,58.8,,10.0
50,Engineering,Male,47,3.2,38.0,117943.0,7.0
51,Finance,Female,56,5.2,48.4,78852.0,10.0
52,HR,Male,46,3.6,50.8,76614.0,8.0
53,Finance,Male,45,7.0,69.6,,7.0
54,Finance,Female,34,4.7,46.3,,5.0
55,Sales,Female,28,3.3,41.6,80007.0,1.0
56,Finance,Male,57,4.4,46.2,72803.0,5.0
57,Engineering,Female,41,5.8,80.1,,10.0
58,Engineering,Female,22,3.9,58.0,75574.0,2.0
59,Engineering,Male,29,3.4,46.8,89963.0,5.0
60,Engineering,Male,37,5.5,75.7,120035.0,5.0
61,Sales,Female,35,5.5,64.5,73259.0,2.0
62,Engineering,Male,33,4.0,45.0,72453.0,
63,HR,Male,44,4.1,64.6,65861.0,4.0
64,Sales,Female,36,5.5,68.0,82638.0,1.0
65,Engineering,Male,49,2.1,30.0,54547.0,3.0
66,Sales,Male,55,2.2,36.0,78178.0,1.0
67,Engineering,Female,23,3.6,41.5,91536.0,5.0
68,HR,Female,53,4.6,45.5,,4.0
69,Engineering,Male,44,5.6,72.4,122734.0,7.0
70,Finance,Male,43,8.0,98.9,90836.0,5.0
71,HR,Female,46,6.7,62.5,76707.0,10.0
72,Engineering,Female,43,4.7,61.9,78402.0,4.0
73,Engineering,Female,43,5.0,54.5,133600.0,2.0
74,HR,Female,27,3.0,40.1,,4.0
75,Marketing,Male,36,5.0,55.0,68427.0,2.0
76,Marketing,Female,58,4.4,48.5,69568.0,8.0
77,HR,Female,54,5.6,65.6,55010.0,3.0
78,Engineering,Male,29,3.3,40.1,92835.0,9.0
79,Sales,Female,26,6.0,70.5,67758.0,4.0
80,Engineering,Male,25,8.1,84.1,86797.0,6.0
81,Finance,Female,27,4.8,56.3,87004.0,10.0
82,Marketing,Female,53,5.8,59.2,72090.0,5.0
83,Engineering,Female,51,6.4,66.4,84307.0,
84,Engineering,Male,56,4.2,59.6,96596.0,1.0
85,Engineering,Male,37,5.4,67.6,91175.0,9.0
86,Engineering,Female,34,5.0,52.4,117560.0,1.0
87,Marketing,Male,51,5.2,62.4,,8.0
88,Marketing,Male,40,3.5,53.6,50692.0,
89,Finance,Male,38,5.0,47.0,94187.0,9.0
90,Sales,Male,40,6.0,72.3,86912.0,1.0
91,Engineering,Male,49,7.9,77.9,89860.0,2.0
92,Marketing,Male,47,6.9,79.9,58474.0,1.0
93,HR,Female,58,9.3,88.3,73067.0,10.0
94,Sales,Female,47,3.5,33.3,87441.0,2.0
95,HR,Male,44,6.7,60.9,62421.0,10.0
96,Sales,Female,30,5.4,63.3,63726.0,8.0
97,Sales,Female,33,9.4,97.1,64958.0,5.0
98,Sales,Female,22,3.4,39.8,66619.0,
99,Engineering,Female,22,3.3,51.7,105825.0,2.0
100,Engineering,Male,55,3.8,37.1,78064.0,8.0
101,Engineering,Female,53,0.8,30.0,,6.0
102,Marketing,Female,46,3.9,41.9,64523.0,8.0
103,Engineering,Male,22,3.5,42.6,76668.0,1.0
104,Sales,Male,37,5.3,62.8,72811.0,1.0
105,Finance,Female,26,5.7,58.6,56129.0,7.0
106,Engineering,Female,43,8.8,86.9,89378.0,
107,Sales,Female,50,6.9,83.3,,3.0
108,HR,Female,24,3.8,46.2,65609.0,5.0
109,Engineering,Female,33,3.2,52.3,89586.0,1.0
110,Engineering,Female,47,6.0,58.8,112390.0,7.0
111,Engineering,Male,37,2.4,43.1,78784.0,5.0
112,Engineering,Female,58,8.7,100.0,104239.0,8.0
113,Finance,Female,43,7.4,59.1,81064.0,8.0
114,HR,Male,50,4.1,46.1,60125.0,9.0
115,Marketing,Male,35,1.6,37.2,82977.0,7.0
